variant,threads,time_sec,speedup,efficiency,iterations,residual
parallel_for_each_loop,72,0.000477791,2.297904192,0.031915336,10,0.000001200
parallel_for_each_loop,73,0.000480890,2.283093704,0.031275256,10,0.000001200
parallel_for_each_loop,74,0.000581026,1.889618383,0.025535384,10,0.000001200
parallel_for_each_loop,75,0.017791986,0.061708543,0.000822781,10,0.000001200
parallel_for_each_loop,76,0.000587940,1.867396594,0.024571008,10,0.000001200
parallel_for_each_loop,77,0.020004988,0.054882191,0.000712756,10,0.000001200
parallel_for_each_loop,78,0.000787020,1.395031809,0.017885023,10,0.000001200
parallel_for_each_loop,79,0.000896931,1.224082935,0.015494721,10,0.000001200
parallel_for_each_loop,80,0.000716925,1.531426671,0.019142833,10,0.000001200
single_parallel_region,1,0.000649929,1.000000000,1.000000000,10,0.000001200
single_parallel_region,2,0.000399113,1.628434886,0.814217443,10,0.000001200
single_parallel_region,3,0.000293970,2.210867802,0.736955934,10,0.000001201
single_parallel_region,4,0.000950098,0.684065245,0.171016311,10,0.000001201
single_parallel_region,5,0.000947952,0.685613682,0.137122736,10,0.000001201
single_parallel_region,6,0.000981808,0.661971831,0.110328638,10,0.000001200
single_parallel_region,7,0.000940800,0.690826153,0.098689450,10,0.000001200
single_parallel_region,8,0.000931025,0.698079385,0.087259923,10,0.000001200
single_parallel_region,9,0.001138926,0.570651036,0.063405671,10,0.000001200
single_parallel_region,10,0.001070976,0.606856634,0.060685663,10,0.000001200
single_parallel_region,11,0.001125097,0.577664759,0.052514978,10,0.000001200
single_parallel_region,12,0.001096964,0.592479896,0.049373325,10,0.000001200
single_parallel_region,13,0.001070023,0.607397504,0.046722885,10,0.000001200
single_parallel_region,14,0.001063108,0.611347836,0.043667703,10,0.000001200
single_parallel_region,15,0.001090050,0.596237970,0.039749198,10,0.000001200
single_parallel_region,16,0.001054049,0.616602579,0.038537661,10,0.000001200
single_parallel_region,17,0.001083136,0.600044024,0.035296707,10,0.000001200
single_parallel_region,18,0.001118898,0.580865118,0.032270284,10,0.000001200
single_parallel_region,19,0.001116991,0.581856990,0.030624052,10,0.000001200
single_parallel_region,20,0.001098156,0.591836735,0.029591837,10,0.000001200
single_parallel_region,21,0.001003027,0.647967673,0.030855603,10,0.000001200
single_parallel_region,22,0.001143932,0.568153397,0.025825154,10,0.000001200
single_parallel_region,23,0.001204967,0.539374753,0.023451076,10,0.000001200
single_parallel_region,24,0.001027107,0.632776230,0.026365676,10,0.000001200
single_parallel_region,25,0.001035213,0.627821281,0.025112851,10,0.000001200
single_parallel_region,26,0.001087904,0.597413982,0.022977461,10,0.000001200
single_parallel_region,27,0.001072884,0.605777778,0.022436214,10,0.000001200
single_parallel_region,28,0.001181126,0.550262414,0.019652229,10,0.000001200
single_parallel_region,29,0.001196861,0.543027888,0.018725100,10,0.000001200
single_parallel_region,30,0.001389980,0.467581475,0.015586049,10,0.000001200
single_parallel_region,31,0.001286030,0.505376344,0.016302463,10,0.000001200
single_parallel_region,32,0.001445055,0.449760766,0.014055024,10,0.000001200
single_parallel_region,33,0.001018047,0.638407494,0.019345682,10,0.000001200
single_parallel_region,34,0.001016140,0.639605819,0.018811936,10,0.000001200
single_parallel_region,35,0.001065016,0.610252966,0.017435799,10,0.000001200
single_parallel_region,36,0.001049042,0.619545455,0.017209596,10,0.000001200
single_parallel_region,37,0.001108885,0.586110514,0.015840825,10,0.000001200
single_parallel_region,38,0.001139879,0.570173604,0.015004569,10,0.000001200
single_parallel_region,39,0.001103878,0.588768898,0.015096638,10,0.000001200
single_parallel_region,40,0.001160860,0.559868556,0.013996714,10,0.000001200
single_parallel_region,41,0.001138926,0.570651036,0.013918318,10,0.000001200
single_parallel_region,42,0.001085043,0.598989233,0.014261648,10,0.000001200
single_parallel_region,43,0.001057863,0.614379085,0.014287886,10,0.000001200
single_parallel_region,44,0.001188040,0.547060004,0.012433182,10,0.000001200
single_parallel_region,45,0.001152039,0.564155629,0.012536792,10,0.000001200
single_parallel_region,46,0.001096964,0.592479896,0.012879998,10,0.000001200
single_parallel_region,47,0.001174927,0.553165584,0.011769481,10,0.000001200
single_parallel_region,48,0.001129866,0.575226841,0.011983893,10,0.000001200
single_parallel_region,49,0.001179934,0.550818347,0.011241191,10,0.000001200
single_parallel_region,50,0.001001120,0.649202191,0.012984044,10,0.000001200
single_parallel_region,51,0.000905037,0.718124341,0.014080869,10,0.000001200
single_parallel_region,52,0.000960827,0.676426799,0.013008208,10,0.000001200
single_parallel_region,53,0.000994921,0.653247064,0.012325416,10,0.000001200
single_parallel_region,54,0.001024961,0.634100954,0.011742610,10,0.000001200
single_parallel_region,55,0.001030922,0.630434783,0.011462451,10,0.000001200
single_parallel_region,56,0.001123190,0.578645723,0.010332959,10,0.000001200
single_parallel_region,57,0.001168966,0.555986131,0.009754143,10,0.000001200
single_parallel_region,58,0.001091957,0.595196507,0.010262009,10,0.000001200
single_parallel_region,59,0.001207113,0.538415959,0.009125694,10,0.000001200
single_parallel_region,60,0.001104116,0.588641762,0.009810696,10,0.000001200
single_parallel_region,61,0.001188040,0.547060004,0.008968197,10,0.000001200
single_parallel_region,62,0.001169205,0.555872757,0.008965690,10,0.000001200
single_parallel_region,63,0.001156807,0.561830173,0.008917939,10,0.000001200
single_parallel_region,64,0.001132011,0.574136479,0.008970882,10,0.000001200
single_parallel_region,65,0.001168966,0.555986131,0.008553633,10,0.000001200
single_parallel_region,66,0.001215935,0.534509804,0.008098633,10,0.000001200
single_parallel_region,67,0.001159906,0.560328880,0.008363118,10,0.000001200
single_parallel_region,68,0.001173973,0.553614947,0.008141396,10,0.000001200
single_parallel_region,69,0.001142025,0.569102296,0.008247859,10,0.000001200
single_parallel_region,70,0.001174927,0.553165584,0.007902365,10,0.000001200
single_parallel_region,71,0.001182079,0.549818475,0.007743922,10,0.000001200
single_parallel_region,72,0.001194954,0.543894653,0.007554092,10,0.000001200
single_parallel_region,73,0.001281977,0.506974149,0.006944851,10,0.000001200
single_parallel_region,74,0.001214981,0.534929356,0.007228775,10,0.000001200
single_parallel_region,75,0.001313925,0.494647069,0.006595294,10,0.000001200
single_parallel_region,76,0.001453161,0.447251846,0.005884893,10,0.000001200
single_parallel_region,77,0.001492023,0.435602429,0.005657174,10,0.000001200
single_parallel_region,78,0.001443148,0.450355196,0.005773785,10,0.000001200
single_parallel_region,79,0.001515865,0.428751180,0.005427230,10,0.000001200
single_parallel_region,80,0.001430035,0.454484828,0.005681060,10,0.000001200
