matrix_size,threads,init_seconds,multiply_seconds,total_seconds,multiply_speedup,total_speedup,checksum
20000,1,0.59434962400000002,0.58326951500000002,1.1776191389999999,1,1,212317602.1530222
20000,2,0.31918357000000003,0.301723994,0.62090756400000002,1.9331227432976379,1.8966094267133133,212317602.1530222
20000,4,0.169703779,0.16615379999999999,0.33585757900000002,3.5104193524313021,3.5063050907063196,212317602.1530222
20000,7,0.098298072,0.098513907999999997,0.19681198,5.9206819305148271,5.9834728505856196,212317602.1530222
20000,8,0.090090186000000003,0.088095438999999998,0.17818562500000001,6.6208820981072591,6.6089458058134589,212317602.1530222
20000,16,0.079602476000000005,0.056135969000000001,0.13573844500000001,10.39029922152052,8.6756492532384595,212317602.1530222
20000,20,0.071455176999999995,0.054862978999999999,0.12631815599999999,10.631386148389792,9.3226435240235777,212317602.1530222
20000,40,0.081638337000000005,0.052423222999999998,0.13406156,11.126166641833526,8.784167057283236,212317602.1530222
40000,1,2.2977872939999999,2.253082858,4.5508701519999999,1,1,849276950.15196514
40000,2,1.323703192,1.2137206780000001,2.53742387,1.8563438020292178,1.7935001738594032,849276950.15196514
40000,4,0.71460828499999995,0.62803630099999996,1.342644586,3.5875041847302391,3.3894823689401892,849276950.15196514
40000,7,0.36880640999999997,0.40918937500000002,0.777995785,5.5062105608191798,5.8494791870883978,849276950.15196514
40000,8,0.40430634500000001,0.33489270100000001,0.73919904599999997,6.7277753479613756,6.1564881294503184,849276950.15196514
40000,16,0.29277778900000001,0.22321828899999999,0.51599607800000002,10.093630177408984,8.8195828341160372,849276950.15196514
40000,20,0.28708964799999998,0.20372562499999999,0.49081527299999994,11.059398433554934,9.2720630394889945,849276950.15196514
40000,40,0.36312292499999999,0.203738582,0.56686150700000004,11.058695097819028,8.0281869483157546,849276950.15196514
