matrix_size,threads,best_time_sec,speedup
20000,1,0.609728,1.000000
20000,2,0.301110,2.024934
20000,4,0.149166,4.087580
20000,7,0.087826,6.942454
20000,8,0.077765,7.840648
20000,16,0.039455,15.453757
20000,20,0.031063,19.628754
20000,40,0.029255,20.841839
40000,1,2.185068,1.000000
40000,2,1.207858,1.809044
40000,4,0.605600,3.608104
40000,7,0.387452,5.639584
40000,8,0.336077,6.501689
40000,16,0.148610,14.703371
40000,20,0.172853,12.641192
40000,40,0.131601,16.603734
