matrix_size,threads,best_time_sec,speedup
20000,1,,
20000,2,,
20000,4,,
20000,7,,
20000,8,,
20000,16,,
20000,20,,
20000,40,,
40000,1,,
40000,2,,
40000,4,,
40000,7,,
40000,8,,
40000,16,,
40000,20,,
40000,40,,
