threads,time_sec,speedup,efficiency,pi_estimate,abs_error
1,0.021870136,2.138308078,2.138308078,3.141592654,0.000000000
2,0.011074066,4.222937478,2.111468739,3.141592654,0.000000000
4,0.005815983,8.040788719,2.010197180,3.141592654,0.000000000
7,0.003446102,13.570430331,1.938632904,3.141592654,0.000000000
8,0.003168106,14.761213125,1.845151641,3.141592654,0.000000000
16,0.001621962,28.832426870,1.802026679,3.141592654,0.000000000
20,0.002061844,22.681197965,1.134059898,3.141592654,0.000000000
40,0.002022982,23.116912198,0.577922805,3.141592654,0.000000000
